Id,Size,HistoricalPrice,CurrentPrice
1,3813,358490,400690
2,3583,437735,185133
3,1161,457188,359803
4,4741,243748,587021
5,1593,387336,193998
6,2938,361602,298310
7,3206,238518,362160
8,4259,481448,527747
9,1059,497941,198245
10,3962,316669,435701
11,4888,188207,482618
12,4390,288704,377810
13,2901,298017,346739
14,3258,173741,503372
15,1405,116365,411882
16,1663,427936,366585
17,2132,295929,215074
18,2099,347481,208204
19,1541,246776,379669
20,2337,412719,373872
21,1997,260974,306647
22,2140,481785,357096
23,3974,332366,563285
24,1867,494411,305472
25,4775,350319,567362
26,3066,415661,156846
27,1431,134012,583568
28,4756,242487,173694
29,1739,121686,433884
30,2373,308270,592654
31,1182,259815,180996
32,3160,132161,213874
33,2206,347066,247661
34,3528,339689,256945
35,2169,364546,340754
36,1830,163190,325272
37,2651,346256,172970
38,2136,375419,554111
39,3810,259254,319143
40,1475,114915,333340
41,3810,363053,565474
42,2326,476254,238890
43,1970,165908,377249
44,4896,227337,207300
45,2019,384764,411387
46,2141,134112,211915
47,2836,305123,289516
48,1160,102431,225147
49,3448,186590,226064
50,1197,424319,216535
51,2283,217472,153760
52,1659,394768,317956
53,2775,307193,514859
54,2070,161264,537635
55,3010,475910,569238
56,1398,263030,335576
57,2733,494911,280992
58,2582,462355,586346
59,3125,219502,324953
60,3171,330395,212399
61,1074,406369,579667
62,4942,232475,594629
63,3184,305463,373129
64,1601,269708,474422
65,4471,372983,263286
66,1836,335706,572855
67,2528,278901,315693
68,1499,240302,378057
69,2596,151977,404551
70,1137,475194,294151
71,3097,325864,550111
72,2794,125651,505659
73,1972,197919,202142
74,2642,402107,539301
75,4696,286944,555768
76,2885,217776,242930
77,3301,441342,592037
78,4701,244811,247812
79,3028,230697,314702
80,3757,425438,220063
81,4920,279428,280990
82,2900,101789,424391
83,3610,451441,429747
84,3804,336974,252099
85,4986,361413,326636
86,2449,268678,412671
87,1546,480485,599737
88,4373,144135,349530
89,1921,137067,417993
90,1580,379501,374388
91,2372,270923,462458
92,4903,400406,326796
93,2956,307925,374748
94,3003,420787,429374
95,3096,453414,504373
96,3964,263944,484639
97,4145,169103,513534
98,1703,448412,585946
99,3308,186310,241937
100,3403,137412,525867
101,4653,409878,415467
102,2625,449937,543661
103,4331,301002,495089
104,1637,122228,291035
105,3790,220627,593727
106,4366,440068,532945
107,2009,111319,296509
108,3978,106475,560071
109,1640,328163,231947
110,3839,245800,554063
111,4384,341382,546452
112,3659,391689,474041
113,2861,458780,268636
114,3856,329484,425631
115,2205,292828,489528
116,1685,299847,163155
117,2851,392759,423399
118,4435,375890,270860
119,1187,253817,545195
120,4640,363389,537740
121,4614,217408,564521
122,2619,212143,224543
123,2687,389776,185094
124,1984,375000,578314
125,1547,287965,370638
126,3772,332298,576986
127,3973,168049,159734
128,2431,420326,353056
129,1875,496017,451749
130,1617,328953,227932
131,3461,310503,598835
132,2365,270821,274109
133,2243,304829,177881
134,1902,417798,344473
135,1162,302646,574393
136,2974,417525,190122
137,4291,158601,393627
138,1269,246154,447441
139,1631,245720,261513
140,1905,362508,186680
141,4919,265640,233452
142,4471,305704,201044
143,4253,369580,325156
144,3014,448857,577405
145,2641,422338,294582
146,4800,124544,502646
147,1204,163295,172152
148,1581,296787,234738
149,2579,169409,307517
150,1840,349720,357760
151,2836,226839,544411
152,2251,475903,254533
153,2719,379301,341021
154,2642,276637,175433
155,3643,301068,548521
156,4921,165888,339932
157,3297,287167,354685
158,1874,427091,198648
159,2464,433024,344162
160,4604,104507,377993
161,3243,465278,192113
162,1689,143988,396602
163,3010,460565,515648
164,4590,247937,280431
165,4141,464735,323714
166,3686,491758,445206
167,2422,127213,483777
168,3001,157450,191604
169,1671,497693,391201
170,4831,162222,287750
171,4274,499749,182121
172,2171,254468,591719
173,2495,112755,275015
174,4726,231937,499084
175,1943,242245,428638
176,3246,289977,325257
177,4988,269169,552894
178,2449,395515,318704
179,4737,335132,196235
180,3539,235090,282720
181,4959,367336,493357
182,1895,364159,348989
183,3189,470298,166489
184,2336,299988,489425
185,1164,128343,549034
186,3361,431450,520334
187,3068,105829,536757
188,2105,134381,576365
189,4652,473595,570528
190,4202,312153,580340
191,4670,380407,254222
192,2753,334748,151316
193,4031,420562,210046
194,3352,321970,490787
195,2938,100148,394187
196,1370,494970,509648
197,2880,388889,265594
198,1852,172914,214042
199,1383,160653,278295
200,2931,323607,304174
201,3492,292593,410737
202,1424,440459,264430
203,3208,393219,388030
204,4249,109795,537926
205,1628,164555,575173
206,4779,335068,556088
207,1894,203107,200094
208,3537,413673,459863
209,4064,327650,354957
210,3374,267022,271103
211,1597,111009,278826
212,4062,278168,562909
213,3336,250616,462622
214,1592,129381,379235
215,2687,489913,193677
216,4644,426754,553976
217,1572,168122,161584
218,4425,430328,414250
219,3075,314709,556885
220,4001,187228,175223
221,3090,435087,447850
222,2704,180770,570698
223,3470,152726,472513
224,4669,409924,315215
225,1176,288210,411689
226,1528,321454,305312
227,2633,404647,422159
228,1965,420037,494308
229,2517,277265,201500
230,1197,345074,476069
231,3657,423502,503123
232,4648,180857,508499
233,3889,482601,361668
234,1852,359405,374045
235,4588,290128,330703
236,2537,217928,344724
237,3069,158706,332159
238,4183,444950,360861
239,2080,155006,467053
240,4137,187238,423709
241,3889,348018,439741
242,1097,294227,374376
243,4215,407942,215623
244,2903,177271,552648
245,1434,392321,224300
246,1636,490166,503981
247,4750,492300,199314
248,4157,444359,191965
249,1587,143013,509593
250,1343,182600,365340
251,2317,458243,480101
252,2979,415594,586931
253,1570,484784,334522
254,4721,454547,342974
255,1610,199290,440461
256,2727,316110,531335
257,3290,231832,478897
258,2854,124142,447386
259,3608,472333,282001
260,1959,469676,518406
261,3079,231436,404268
262,3438,419065,511950
263,3324,381941,510868
264,1531,337403,163580
265,2177,132535,254134
266,3430,408444,508111
267,2091,409320,432886
268,2901,116105,167833
269,1883,239011,246421
270,3261,179472,221347
271,2678,273101,224155
272,3423,246935,501935
273,3791,178097,371580
274,3260,361674,556743
275,3126,241519,264527
276,2749,196160,379482
277,3675,146940,350657
278,3651,309019,191057
279,1781,185001,348511
280,4994,334824,456405
281,4452,250714,351984
282,4048,327870,543258
283,3727,326971,172769
284,3105,298715,358990
285,4867,107928,172449
286,4097,148002,581869
287,1880,446997,572075
288,1446,214614,289648
289,3113,217517,589090
290,4992,256089,448489
291,2783,179064,267926
292,2277,481838,395518
293,4970,494775,536720
294,2991,150893,481572
295,2067,377311,373720
296,4168,138598,154321
297,2577,238595,417920
298,2011,411921,428263
299,3274,478522,311641
300,1773,181060,280078
301,3726,375429,319668
302,4507,485114,465111
303,2814,122694,314135
304,3648,497518,565556
305,3426,361401,487867
306,2201,346848,336502
307,2450,253463,262620
308,4986,366755,549884
309,3756,109372,230880
310,1306,255384,158195
311,1778,245152,404697
312,3551,442762,252658
313,3315,212945,207995
314,4657,470541,280112
315,1007,196213,368906
316,4991,120874,188250
317,3555,304986,407841
318,1475,494813,559292
319,2320,111600,165376
320,3211,496963,382647
321,1484,441559,336911
322,4668,348430,476867
323,4143,255887,193442
324,3614,315572,155392
325,1904,194348,308178
326,1558,205736,174809
327,4982,386858,265095
328,2967,235797,281765
329,3285,251756,249473
330,2127,211573,244769
331,2233,375236,224710
332,3601,458062,423496
333,3875,125457,333268
334,1467,433811,352138
335,4525,452895,286064
336,4339,162894,203076
337,3433,161305,435498
338,3822,243684,284384
339,1847,333913,457977
340,3434,309699,154318
341,3924,414281,262363
342,1258,100559,512136
343,1282,428393,478147
344,2649,137361,308264
345,2898,442864,519985
346,1039,377405,250726
347,3533,382516,239199
348,3976,417499,531339
349,3267,328748,318561
350,4200,460704,401131
351,2014,288992,519651
352,4071,343950,583525
353,4591,100037,520317
354,1612,274104,178273
355,3975,403564,328625
356,2915,197243,179473
357,1687,229380,211410
358,4690,358430,278536
359,1612,134600,556895
360,3307,279357,505125
